ISIN,COMPANY,NSE_SYMBOL,BSE_SYMBOL,BSE_CODE,EXCHANGE,PRICE_SOURCE,PRICE_TICKER,LATEST_PRICE,PRICE_DATE,NSE_LISTING_DATE,BSE_LISTING_DATE
INE02YR01019,Electronics Mart India Limited,EMIL,EMIL,543626,NSE+BSE,NSE/Yahoo Finance,EMIL.NS,,,17-OCT-2022,
INE086A01029,Electrosteel Castings Limited,ELECTCAST,ELECTCAST,500128,NSE+BSE,NSE/Yahoo Finance,ELECTCAST.NS,,,20-JUN-2003,
INE822G01016,Electrotherm (India) Limited,ELECTHERM,ELECTHERM,526608,NSE+BSE,NSE/Yahoo Finance,ELECTHERM.NS,,,20-AUG-2007,
INE285A01027,Elgi Equipments Limited,ELGIEQUIP,ELGIEQUIP#,122074,NSE+BSE,NSE/Yahoo Finance,ELGIEQUIP.NS,,,22-NOV-1995,
INE819L01012,Elgi Rubber Company Limited,ELGIRUBCO,ELGIRUBCO,200535,NSE+BSE,NSE/Yahoo Finance,ELGIRUBCO.NS,,,10-AUG-2011,
INE050401020,Elin Electronics Limited,ELIN,ELIN,543725,NSE+BSE,NSE/Yahoo Finance,ELIN.NS,,,30-DEC-2022,
INE669R01026,Elitecon International Limited,ELITECON,ELITECON,539533,NSE+BSE,NSE/Yahoo Finance,ELITECON.NS,,,20-APR-2026,
INE236E01022,Ellenbarrie Industrial Gases Limited,ELLEN,ELLEN,544421,NSE+BSE,NSE/Yahoo Finance,ELLEN.NS,,,01-JUL-2025,
INE579B01039,Elpro International Limited,ELPROINTL,ELPROINTL,504000,NSE+BSE,NSE/Yahoo Finance,ELPROINTL.NS,,,20-APR-2026,
INE548C01032,Emami Limited,EMAMILTD,EMAMILTD#,131162,NSE+BSE,NSE/Yahoo Finance,EMAMILTD.NS,,,03-AUG-2006,
INE830C01026,Emami Paper Mills Limited,EMAMIPAP,EMAMIPAP,533208,NSE+BSE,NSE/Yahoo Finance,EMAMIPAP.NS,,,30-MAY-2019,
INE778K01012,Emami Realty Limited,EMAMIREAL,EMAMIREAL,533218,NSE+BSE,NSE/Yahoo Finance,EMAMIREAL.NS,,,28-JUL-2010,
INE069I01010,Embassy Developments Limited,EMBDL,EMBDL,532832,NSE+BSE,NSE/Yahoo Finance,EMBDL.NS,,,23-MAR-2007,
INE168P01015,Emcure Pharmaceuticals Limited,EMCURE,EMCURE#,144210,NSE+BSE,NSE/Yahoo Finance,EMCURE.NS,,,10-JUL-2024,
INE296H01011,Emkay Global Financial Services Limited,EMKAY,EMKAY,532737,NSE+BSE,NSE/Yahoo Finance,EMKAY.NS,,,28-APR-2006,
INE753K01015,Emmbi Industries Limited,EMMBI,EMMBI,533161,NSE+BSE,NSE/Yahoo Finance,EMMBI.NS,,,24-FEB-2010,
INE1C6T01020,Emmvee Photovoltaic Power Limited,EMMVEE,EMMVEE,544608,NSE+BSE,NSE/Yahoo Finance,EMMVEE.NS,,,18-NOV-2025,
INE507F01023,Empower India Limited,EMPOWER,EMPOWER,504351,NSE+BSE,NSE/Yahoo Finance,EMPOWER.NS,,,20-APR-2026,
INE913H01037,Endurance Technologies Limited,ENDURANCE,ENDURANCE#,140153,NSE+BSE,NSE/Yahoo Finance,ENDURANCE.NS,,,19-OCT-2016,
INE306C01019,Energy Development Company Limited,ENERGYDEV,ENERGYDEV,532219,NSE+BSE,NSE/Yahoo Finance,ENERGYDEV.NS,,,02-NOV-2007,
INE510A01028,Engineers India Limited,ENGINERSIN,ENGINERSIN#,132178,NSE+BSE,NSE/Yahoo Finance,ENGINERSIN.NS,,,20-AUG-1997,
INE010601016,Entero Healthcare Solutions Limited,ENTERO,ENTERO,544122,NSE+BSE,NSE/Yahoo Finance,ENTERO.NS,,,16-FEB-2024,
INE265F01028,Entertainment Network (India) Limited,ENIL,ENIL,532700,NSE+BSE,NSE/Yahoo Finance,ENIL.NS,,,15-FEB-2006,
INE0LLY01014,Enviro Infra Engineers Limited,EIEL,EIEL,544290,NSE+BSE,NSE/Yahoo Finance,EIEL.NS,,,29-NOV-2024,
INE071N01016,Epigral Limited,EPIGRAL,EPIGRAL,543332,NSE+BSE,NSE/Yahoo Finance,EPIGRAL.NS,,,18-AUG-2021,
INE217G01035,Equippp Social Impact Technologies Limited,EQUIPPP,EQUIPPP,590057,NSE+BSE,NSE/Yahoo Finance,EQUIPPP.NS,,,19-MAY-2021,
INE063P01018,Equitas Small Finance Bank Limited,EQUITASBNK,EQUITASBNK,543243,NSE+BSE,NSE/Yahoo Finance,EQUITASBNK.NS,,,02-NOV-2020,
INE406M01024,Eris Lifesciences Limited,ERIS,ERIS#,140596,NSE+BSE,NSE/Yahoo Finance,ERIS.NS,,,29-JUN-2017,
INE284A01012,Esab India Limited,ESABINDIA,ESABINDIA,500133,NSE+BSE,NSE/Yahoo Finance,ESABINDIA.NS,,,01-NOV-1995,
INE042A01014,Escorts Kubota Limited,ESCORTS,ESCORTS#,100495,NSE+BSE,NSE/Yahoo Finance,ESCORTS.NS,,,01-MAR-1995,
INE122M01019,Essar Shipping Limited,ESSARSHPNG,ESSARSHPNG,533704,NSE+BSE,NSE/Yahoo Finance,ESSARSHPNG.NS,,,15-NOV-2011,
INE778B01029,Ester Industries Limited,ESTER,ESTER,500136,NSE+BSE,NSE/Yahoo Finance,ESTER.NS,,,20-JUN-2011,
